
[10.7.2017 | 16:56] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:56] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:57] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:57] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:57] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:57] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:57] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:57] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:57] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:57] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 17:13] Sender method: LoadCurrencyDetails # Currency details were load successfully
[10.7.2017 | 17:13] Sender method: LoadCommands # Commands Loaded
[10.7.2017 | 17:13] Sender method: Connect # Bot has successfully connected to Twitch account and joined the channel medvedibot
[10.7.2017 | 17:13] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 17:13] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 17:13] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 17:13] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 17:13] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 17:13] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 17:13] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 17:13] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 17:23] Sender method: LoadCurrencyDetails # Currency details were load successfully
[10.7.2017 | 17:23] Sender method: LoadCommands # Commands Loaded
[10.7.2017 | 17:23] Sender method: Connect # Bot has successfully connected to Twitch account and joined the channel medvedibot
[10.7.2017 | 17:23] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 17:23] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 17:23] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 17:23] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 22:42] Sender method: LoadCurrencyDetails # Currency details were load successfully
[10.7.2017 | 22:42] Sender method: LoadCommands # Commands Loaded
[10.7.2017 | 22:42] Sender method: Connect # Bot has successfully connected to Twitch account and joined the channel medvedibot
[10.7.2017 | 22:42] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 22:42] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 22:44] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 22:44] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 22:44] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 22:44] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 22:44] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 22:44] Sender method: LoadCurrencyDetails # Currency details were load successfully
[10.7.2017 | 22:44] Sender method: LoadCommands # Commands Loaded
[10.7.2017 | 22:44] Sender method: Connect # Bot has successfully connected to Twitch account and joined the channel medvedibot
[10.7.2017 | 22:45] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 22:45] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 22:45] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 22:45] Sender method: LoadCurrencyDetails # Currency details were load successfully
[10.7.2017 | 22:45] Sender method: LoadCommands # Commands Loaded
[10.7.2017 | 22:45] Sender method: Connect # Bot has successfully connected to Twitch account and joined the channel medvedibot
[10.7.2017 | 22:45] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 22:46] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 22:46] Sender method: SavePoints # Points were saved successfully
